Row Labels,12,13,14,15,16,17,18,19,20,21,22,Grand Total
Ansonia,,,131,214,107,68,127,125,88,63,,923
Avon,,,,,,,67,,61,,,128
Beacon Falls,56,,31,,70,,111,226,127,118,92,831
Berlin,,,79,43,,75,165,109,130,49,37,687
Bethleham,,,,30,,,,,,,,30
Bolton,,123,133,40,38,21,113,248,160,64,54,994
Bozrah,49,80,61,54,69,84,73,56,57,52,28,663
Branford,50,,60,49,,,,,,,,159
Bridgeport,,,19,,,,,,,,,19
Bridgewater,,76,71,40,,,38,51,53,68,,397
Bristol,54,,23,,,,,,,,,77
Brooklyn,,86,59,55,27,20,49,61,,,27,384
Burlington,,,35,,,,,,,,,35
Canaan,,,75,45,56,91,155,86,210,72,52,842
Canterbury,52,64,63,104,97,45,52,87,53,,23,617
Canton,84,178,60,71,41,,66,54,63,,42,617
Chaplin,,,20,,,,,,,,,20
Cheshire,91,,,97,128,51,115,41,27,21,23,594
Chester,,,,,,21,81,415,294,,133,811
Clinton,104,59,37,60,53,,,53,29,87,44,526
Cornwall,89,71,143,96,64,37,54,58,22,,,634
Coventry,,,,,,,19,,,,,19
Cromwell,,,34,28,57,51,,44,19,26,57,316
Darien,20,,,,,,,,,,,20
Deep River,,,,,,1,22,207,206,76,98,610
Derby,,,57,,,,47,44,,,,148
Durham,,,,,,,22,66,43,58,29,218
East Granby,,,,,,,,40,,,,40
East Haddam,64,,,,,,,86,,,,150
East Hartford,,,,,,,,,35,,,35
East Haven,,,,,,,86,44,,,25,130
Ellington,,,35,35,55,53,51,,,,22,251
Enfield,,,,,,,40,60,91,,,191
Essex,,,,,52,58,,22,118,,36,286
Fairfield,,,,20,,,,,,,,20
Franklin,4,36,50,63,53,99,52,46,,,,403
Glastonbury,,,30,88,76,,,52,51,35,50,382
Granby,,,,,,,,66,,,,66
Guilford,,,9,17,,,,79,55,,,160
Haddam,51,54,96,29,,86,28,131,22,,,497
Hamden,,160,375,711,,21,54,64,22,23,,1430
Hampton,,70,,,,,,,,,,70
Hartland,,,,,,,27,,,,,27
Hebron,,,,70,,,48,,63,28,,209
Kent,67,180,,68,27,20,52,143,71,72,64,764
Killingly,,,,,,,,79,32,,21,111
Killingworth,28,33,123,24,,,78,260,62,84,,692
Lebanon,,,39,47,48,51,,,,,,185
Ledyard,,70,68,,,,,,,,,138
Litchfield,187,160,148,98,64,100,85,,131,,,973
Lyme,34,40,,,,,,,,,,74
Madison,,,,36,,10,85,158,92,23,,404
Meriden,30,34,51,112,27,74,31,91,34,,,484
Middlebury,76,30,33,79,92,93,127,,137,,30,667
Middlefield,,52,45,29,,46,30,56,,,,258
Middletown,53,87,92,27,46,110,,28,51,,33,527
Milford,,23,57,39,27,3,50,36,7,79,75,396
Monroe,,,19,58,43,155,81,107,95,81,38,677
Morris,55,,,,,55,,,,,,110
Naugatuck,23,,,,81,39,52,102,59,,52,408
New Canaan,,,,,,,,36,,,,36
New Hartford,,41,,39,,,69,83,34,,,266
New Haven,,29,,25,,,22,27,,,28,131
New Milford,19,21,,8,,,,27,61,,,136
Newtown,,61,,,,,,,,,,61
North Branford,83,110,42,85,,47,81,130,40,57,65,740
North Haven,,83,77,83,,,,,,,,243
North Stonington,,,,35,37,35,51,54,50,40,,302
Old Lyme,,28,,,,115,68,177,71,,,459
Old Saybrook,,,,,,,29,55,13,,,97
Orange,76,78,,25,,26,51,,21,,47,324
Plainville,136,59,58,42,,53,140,46,55,10,,599
Pomfret,,,52,,27,,65,82,,,,226
Portland,,,119,30,37,,,,,,26,186
Preston,,,,,,83,103,,48,,26,260
Prospect,279,60,,65,51,66,61,117,132,40,25,896
Putnam,,,,,,,,45,,,,45
Redding,,,38,28,,21,19,,19,,,125
Ridgefield,,,,,,,,71,,,,71
Rocky Hill,,,98,29,,,26,,,,,153
Roxbury,,68,59,72,22,24,40,178,122,102,63,750
Salisbury,97,35,59,34,61,,26,,,,,312
Scotland,5,93,77,119,61,51,72,24,,,,502
Seymour,,,92,48,21,86,109,94,65,64,154,733
Sharon,64,49,6,51,11,21,67,76,71,44,58,518
Shelton,,,143,63,,,,12,,,,218
Sherman,74,34,78,,63,,21,60,82,57,20,489
Southbury,,157,55,153,132,60,125,114,116,22,27,961
Southington,38,115,50,87,76,49,111,134,69,,,729
Sprague,,,,29,,,,,,,,29
Stafford,,,,11,,,4,64,,,,79
Stamford,,,,21,,34,3,,,,,58
Sterling,,,,,,36,62,,,,,98
Stratford,,,,16,55,33,,66,,,,170
Thomaston ,56,88,33,6,,52,54,56,63,66,33,507
Thompson,,,,,,10,,57,,,,67
Torrington,,,71,52,,,51,24,,,,198
Trumbull,,21,18,49,,,,30,,,,118
Vernon,29,54,50,20,,26,,25,,,,204
Wallingford,8,100,78,51,69,57,38,122,116,,,639
Washington,40,142,91,83,,,53,67,82,86,86,730
Watertown,,,,56,,50,51,,,,,157
West Haven,54,63,,,53,52,49,62,66,50,,449
Westbrook,,32,,23,52,19,61,53,72,,,312
Weston,,,,,,,51,63,,,,114
Westport,27,83,70,23,23,,,,,,,226
Willington,70,61,41,60,51,,,41,58,,,382
Wilton,60,94,122,114,81,20,66,195,164,,,916
Windham,,,,,,,,34,20,,,54
Wolcott,,,20,51,64,,38,29,86,60,28,376
Woodbridge,,,,,,,92,107,27,,,226
Woodbury,,84,,,,,48,115,102,,43,392
