Town,Lat,Long,12,13,14,15,16,17,18,19,20,21
Ansonia,41.354295,-73.091302,0.000,0.000,0.046,0.762,0.720,0.838,0.717,0.912,0.602,0.603
Avon,41.773694,-72.828835,,,,,,,0.522,,0.230,0.389
Beacon Falls,41.4211,-73.0850,0.018,0.083,0.581,,0.300,,0.135,0.155,0.323,0.025
Berlin,41.607439,-72.743499,,,0.013,0.023,,0.547,0.727,0.853,0.377,0.500
Bethleham,41.637271,-73.204522,,,,0.367,,,,,,
Bolton,41.776540,-72.440730,,0.000,0.000,0.000,0.132,0.238,0.044,0.940,0.481,0.381
Bozrah,41.550824,-72.1708,0.000,0.000,0.000,0.000,0.000,0.024,0.041,0.518,0.912,0.686
Branford,41.2847,-72.7911,0.000,,0.033,0.449,,,,,,
Bridgeport,41.220638,-73.178797,,,0.053,,,,,,,
Bridgewater,41.525672,-73.362195,,0.000,0.000,0.175,,,0.421,0.961,0.943,0.939
Bristol,41.66859,-72.93688,0.000,,0.087,,,,,,,
Brooklyn,41.786833,-71.93535,,0.000,0.000,0.000,0.000,0.000,0.000,0.016,,
Burlington,41.778198,-72.984762,,,0.000,,,,,,,
Canaan,41.936445,-73.364468,,,0.000,0.000,0.000,0.000,0.090,0.488,0.657,0.945
Canterbury,41.698407,-71.978175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,
Canton,41.827331,-72.911702,0.000,0.000,0.000,0.014,0.073,0.250,0.545,0.574,0.619,
Chaplin,41.752391,-72.106197,,,0.000,,,,,,,
Cheshire,41.49933,-72.922566,0.000,0.067,,0.907,0.508,0.647,0.157,0.293,0.000,0.389
Chester,41.403915,-72.45834,,,,,,0.238,0.383,0.694,0.531,0.281
Clinton,41.292643,-72.53025,0.000,0.000,0.027,0.250,0.453,,,0.981,0.862,0.316
Cornwall,41.8764,-73.3411,0.000,0.000,0.000,0.000,0.000,0.027,0.148,0.621,0.682,
Coventry,41.779833,-72.358675,,,,0.000,,,0.947,,,
Cromwell,41.59582,-72.648232,,,0.029,0.393,0.614,0.922,,1.000,1.000,0.889
Darien,41.091853,-73.466885,0.000,,,,,,,,,
