"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"279" 9001 1960 41.28133 -73.39231 624.89 933835 48922 21 0.0750072677344005 -1.23437520721118
"280" 9003 1934 41.80492 -72.73222 735.1 897259 33991 21 0.0829559115156985 -1.22463668769803
"281" 9005 1938 41.79594 -73.25151 920.56 187530 37249 36 0.076273463257161 -1.22522923830011
"282" 9007 1934 41.46561 -72.5326 369.3 165602 39347 52 0.0859436178199008 -1.23041236875659
"283" 9009 1934 41.41197 -72.92743 604.51 862813 32509 30 0.0808933463712907 -1.23170028615013
"284" 9011 1914 41.48928 -72.09803 664.88 274170 33478 42 0.0915376348634458 -1.22959135477669
"285" 9013 1934 41.85916 -72.33707 410.21 151539 33929 34 0.0879782832353469 -1.22333003424992
"286" 9015 1914 41.83422 -71.98253 512.91 117599 27634 62 0.0925741195900072 -1.22343056893674
"287" 10001 1983 39.08765 -75.57388 586.18 167626 24374 17 0.0481143710017337 -1.27437389020309
"288" 10003 1973 39.58336 -75.65519 426.29 546076 31988 17 0.0467020665938089 -1.26568642410432
"289" 10005 1983 38.66573 -75.40669 936.08 203390 27580 22 0.0506496199522889 -1.28171670635504
"574" 17031 2010 41.84296 -87.82118 945.33 5231351 29920 0 -0.111632077206972 -1.22168472241972
"580" 17043 2010 41.84929 -88.09583 327.5 927987 38405 0 -0.115151494770091 -1.22124623697184
"607" 17097 2002 42.33103 -88.00675 443.67 702120 38512 0 -0.113219911115106 -1.21292341826483
"614" 17111 2010 42.33042 -88.45287 603.17 308145 32318 5 -0.118912966540619 -1.21238928783378
"662" 18003 2000 41.09678 -85.07632 657.31 360412 24902 5 -0.0771245492018955 -1.2374982062096
"677" 18033 2002 41.40972 -85.00417 362.82 42321 22732 2 -0.0758468087116546 -1.23206099723578
"680" 18039 2000 41.60006 -85.86171 463.17 199619 21879 4 -0.0867241150385528 -1.22798698659653
"704" 18087 2000 41.65978 -85.43608 379.62 37521 18469 5 -0.081154721336876 -1.22731508694737
"706" 18091 2012 41.55199 -86.73244 598.3 111246 22968 5 -0.0980376519617861 -1.22798369410225
"717" 18113 2002 41.41275 -85.43253 410.84 47582 20600 5 -0.0813953861579223 -1.23165346066801
"724" 18127 2000 41.46303 -87.06373 418.15 165682 28452 9 -0.102447346269829 -1.22919379816448
"731" 18141 2010 41.6211 -86.28689 457.85 266344 23420 3 -0.0921889442699809 -1.22721775537253
"736" 18151 1999 41.65957 -85.00442 308.94 34124 23813 5 -0.0755800253685859 -1.22767469464748
"1141" 23001 1912 44.17162 -70.20337 467.93 107609 23663 39 0.111598390257408 -1.18064601650707
"1142" 23003 1984 46.66569 -68.60191 6671.33 70868 20659 15 0.12664875131955 -1.13533188106765
"1143" 23005 1912 43.87247 -70.42796 835.24 283921 32277 32 0.109288961501189 -1.18612429962502
"1144" 23007 1914 44.9806 -70.44472 1696.61 30630 21595 11 0.107303924344544 -1.16683253847756
"1145" 23009 1914 44.71464 -68.35866 1586.89 54558 27227 24 0.133413522133631 -1.1688163119475
"1146" 23011 1912 44.41876 -69.76618 867.52 121853 25023 39 0.116601096858467 -1.17581493051245
"1147" 23013 1914 44.18294 -69.24059 365.13 39668 26504 31 0.123531612271958 -1.17925784375222
"1148" 23015 1912 44.0887 -69.54312 455.82 34180 28741 37 0.119944048098375 -1.18128696144956
