"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"155" 9001 1986 -73.39231 41.28133 168.632968 6.56316 0.0515670078387566 -1.23557641855661
"156" 9003 1988 -72.73222 41.80492 99.435848 6.07491 0.0596990437448263 -1.22599050742139
"157" 9005 1990 -73.25151 41.79594 244.04772 5.68812 0.053006553266219 -1.22645612758612
"158" 9007 1986 -72.5326 41.46561 20.107999 6.44715 0.0625765974183466 -1.23182185079204
"159" 9009 1985 -72.92743 41.41197 156.145781 6.5283 0.0575027926685891 -1.23301368898515
"160" 9011 1988 -72.09803 41.48928 18.46196474 6.3673 0.0681851886416725 -1.23110715146484
"161" 9013 1988 -72.33707 41.85916 14.9291603 6.00094 0.064745309375301 -1.22477940704963
"162" 9015 1990 -71.98253 41.83422 25.449476 6 0.0693384099613352 -1.2249671463067
"163" 10001 1999 -75.57388 39.08765 NA 7.01845 0.0239198345930488 -1.27505750703303
"164" 10003 1993 -75.65519 39.58336 3.2759665 7.01742 0.0226726607603511 -1.26634480203464
"167" 10005 1999 -75.40669 38.66573 NA 7.20607 0.0263152703281501 -1.28244711621901
"459" 13011 2010 -83.49415 34.35259 NA 7.93583 -0.087677383958348 -1.3558634916013
"504" 13085 2007 -84.17781 34.43285 0 7.45364 -0.0973266739260296 -1.35378939081335
"517" 13111 2006 -84.33604 34.85625 0.892157 6.9556 -0.0990337191322331 -1.34619500062013
"523" 13123 2007 -84.4649 34.67575 0 7.25722 -0.101096152914932 -1.34922723068042
"535" 13137 2004 -83.53459 34.62557 0 7.49513 -0.0879423071554202 -1.35103329364716
"536" 13139 2010 -83.82934 34.30856 0 7.65829 -0.0925112587177385 -1.35631861100992
"561" 13187 2006 -84.01131 34.56516 0 7.34631 -0.0947920580739543 -1.35163558104551
"577" 13213 2010 -84.76319 34.78018 0 7.42795 -0.105187067193273 -1.34707107913153
"584" 13227 2010 -84.47881 34.45689 0 7.46988 -0.101581922886173 -1.35305260807713
"591" 13241 2002 -83.41438 34.87885 0 7.18068 -0.0859495600178363 -1.34669507815957
"599" 13257 2006 -83.29412 34.5544 0 7.98069 -0.084601958423214 -1.35250134434326
"611" 13281 2004 -83.74988 34.90761 0 6.88889 -0.0906687698126779 -1.34587823036554
"616" 13291 2004 -84.00302 34.82879 0 6.8466 -0.0943500024004892 -1.34701585750705
"626" 13311 2004 -83.75173 34.64158 0 7.38211 -0.0910097531399203 -1.35054776386288
"931" 21013 2006 -83.67577 36.726 0.436364 6.47415 -0.087491553753026 -1.31399298251462
"937" 21025 2010 -83.31599 37.5253 0.0444308 6.50155 -0.0816342930186803 -1.30025641928922
"950" 21051 2007 -83.71012 37.16506 0.883928 6.25876 -0.0874496131222182 -1.306241358249
"960" 21071 2010 -82.73618 37.564 1.114269 6.50436 -0.0736620692446271 -1.30004925598569
"972" 21095 2006 -83.20958 36.8579 1.0380789 6.4992 -0.0809023330378952 -1.3120864685009
"987" 21125 2010 -84.11088 37.11302 7.3428838 6.48108 -0.0930218258534875 -1.30677580112446
"990" 21131 2007 -83.37424 37.09618 0.796569 6.51789 -0.0829096782121987 -1.30775369137652
"991" 21133 2007 -82.84894 37.12635 5.1901948 6.49724 -0.07564986640257 -1.3076611527394
"998" 21147 2010 -84.48122 36.74241 5.10818 6.43867 -0.0986021022809207 -1.31291600860518
"1019" 21189 2010 -83.67913 37.42246 0.162921 6.3006 -0.086722151324583 -1.30174349226607
"1022" 21195 2007 -82.39107 37.46857 4.727866 6.51743 -0.0690300691875725 -1.30198769004898
"1027" 21205 2011 -83.403 38.20079 0 6.5 -0.0820677485379505 -1.28829991356234
"1042" 21235 2007 -84.14595 36.75886 5.80458769 6.44498 -0.0939494458805583 -1.31296653391631
"1043" 21237 2010 -83.48719 37.74011 1.843252 6.49827 -0.0837322524266705 -1.29632920419038
"1345" 23005 2010 -70.42796 43.87247 344.384179 5.2514 0.0867582632362934 -1.18798482104241
"1369" 23015 2010 -69.54312 44.0887 150.60005 5.59778 0.0975032367926668 -1.18335057306781
"1377" 23023 2010 -69.86822 43.9898 70.297163 5.43814 0.0935913258236532 -1.18540408040133
"1393" 23031 2003 -70.71224 43.4872 259.512353 5.33854 0.08367628792056 -1.1949757321739
"1394" 24001 1999 -78.6958 39.62447 11.80582369 6.45807 -0.0178344121442017 -1.26569786830566
"1395" 24003 1986 -76.62606 39.00517 NA 7.29895 0.00981430299093335 -1.27669754722489
"1396" 24005 1986 -76.64955 39.47285 NA 6.92489 0.0094374582118218 -1.26845959117714
"1398" 24009 1993 -76.58745 38.55389 NA 7.42395 0.0103973053247175 -1.28464602262644
"1399" 24011 2001 -75.84214 38.87241 3.46377 7.08353 0.0203813386387529 -1.27891238103836
"1400" 24013 1994 -77.03298 39.56482 0 6.67029 0.0043145873612682 -1.2668670315734
"1401" 24015 1992 -75.94711 39.58389 8.25 6.98585 0.0187829275735335 -1.26639913017774
"1415" 24021 1991 -77.4078 39.47736 1.2346798 6.73931 -0.000682361466726084 -1.26841505641145
"1416" 24023 2001 -79.27323 39.54134 0.162921 5.84435 -0.0255532176322459 -1.26703039033857
"1417" 24025 1991 -76.32602 39.56566 0 6.95812 0.0137375234486482 -1.26678509456941
"1420" 24027 1999 -76.93604 39.2491 NA 6.90541 0.00563134825866374 -1.27242453867655
"1421" 24029 2001 -76.03565 39.25721 NA 7.08426 0.0176831729282394 -1.27217120918981
"1422" 24031 1999 -77.22022 39.1383 0.00744879 6.96359 0.00182958585751661 -1.27438803512035
"1423" 24033 1986 -76.86382 38.82807 NA 7.05328 0.00663668564802738 -1.27983894956958
"1424" 24035 1988 -75.98858 39.08364 NA 7.12637 0.0183572314830159 -1.2752203915919
"1442" 24041 2001 -76.09286 38.77273 0 7.38169 0.0170309246009862 -1.28071816801218
"1445" 24043 1995 -77.82077 39.61131 7.4902633 6.54597 -0.00618215381579862 -1.26604025678048
"1454" 24510 1986 -76.62574 39.31498 NA 7.4482 0.00977661910030781 -1.27123861120614
"1456" 25001 1992 -70.28634 41.73562 6.09108 6.91948 0.0913163681083199 -1.2252635664947
"1458" 25003 2000 -73.20492 42.36783 265.433526 5.4084 0.0531688196519341 -1.21638819036905
"1459" 25005 1993 -71.10949 41.80539 2.60437 6.55205 0.0806207789448601 -1.22478434989905
"1461" 25007 1998 -70.63476 41.38519 21.5 7 0.0872596018915398 -1.23173791318686
"1468" 25009 1992 -70.97771 42.6698 110.3900922 6.24357 0.0813002148317868 -1.20951637514892
"1469" 25011 1997 -72.59141 42.58311 341.565184 5.47187 0.06082997268225 -1.21224284161332
"1470" 25013 1989 -72.62533 42.13671 145.444888 5.83544 0.0607875869157303 -1.22009745703915
"1471" 25015 1994 -72.6591 42.33916 178.26499 5.64147 0.0601783128455752 -1.21656588154836
"1472" 25017 1990 -71.38994 42.48438 110.134288 5.97043 0.0762577696083173 -1.2131077327375
"1476" 25021 1991 -71.22483 42.15699 13.9429966 6.28699 0.0787359191464601 -1.21871364133095
"1478" 25023 1992 -70.81561 41.95679 3.7743327 6.50727 0.0842244506876185 -1.22187381174276
